Python File,Function Name,Lines of Code,Cyclomatic Complexity,Number of Calls,Functions Called
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,should_not_contain_tests,310,119,1,AssertionError
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,should_contain_suites,310,119,3,"sorted, len, AssertionError"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,should_contain_tags,310,119,4,"assert_equal, sorted, zip, len"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,should_contain_keywords,310,119,3,"assert_equal, zip, len"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,test_should_have_correct_keywords,310,119,3,"get_var, int, BuiltIn"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,check_log_message,310,119,3,"BuiltIn, matcher, str"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_test,310,119,2,"list, len"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_keyword,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_add_kws_and_msgs,310,119,1,len
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_for,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_for_iteration,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_if,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_if_branch,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_while,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,start_while_iteration,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,visit_error,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,visit_errors,310,119,1,len
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,set_read_only,28,12,0,
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,set_read_write,28,12,0,
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,set_read_write_execute,28,12,0,
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,remove_permissions,28,12,0,
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,file_should_have_correct_line_separators,28,12,1,open
C:/Users/DELL/robotframework\atest\resources\TestHelper.py,_wrong_separators,28,12,2,"AssertionError, repr"
C:/Users/DELL/robotframework\atest\robot\cli\console\piping.py,read_all,16,7,1,print
C:/Users/DELL/robotframework\atest\robot\cli\console\piping.py,read_some,16,7,1,print
C:/Users/DELL/robotframework\atest\robot\cli\console\piping.py,read_none,16,7,0,
C:/Users/DELL/robotframework\atest\robot\cli\console\expected_output\ExpectedOutputLibrary.py,output_should_be,27,8,6,"_read_file, zip, join, len, AssertionError, tester"
C:/Users/DELL/robotframework\atest\robot\cli\console\expected_output\ExpectedOutputLibrary.py,_read_file,27,8,1,open
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,__init__,41,25,1,tuple
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,start_suite,41,25,2,"RuntimeError, dict"
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,start_test,41,25,0,
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,start_for,41,25,0,
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,start_for_iteration,41,25,0,
C:/Users/DELL/robotframework\atest\robot\cli\model_modifiers\ModelModifier.py,start_if_branch,41,25,1,hasattr
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,__init__,60,18,4,"XMLSchema, str, open, Draft202012Validator"
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,libdoc,60,18,0,
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,run_libdoc,60,18,1,run
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,_split_args,60,18,1,list
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,get_libdoc_model_from_html,60,18,1,open
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,_find_model,60,18,1,RuntimeError
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,validate_xml_spec,60,18,0,
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,validate_json_spec,60,18,1,open
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,get_repr_from_arg_model,60,18,2,"str, ArgInfo"
C:/Users/DELL/robotframework\atest\robot\libdoc\LibDocLib.py,get_repr_from_json_arg_model,60,18,2,"str, ArgInfo"
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,get_total_stats,35,15,1,get_all_stats
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,get_tag_stats,35,15,1,get_all_stats
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,get_suite_stats,35,15,1,get_all_stats
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,get_all_stats,35,15,1,_get_output_line
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,_get_output_line,35,15,2,"open, len"
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,verify_stat,35,15,3,"dict, _get_expected_stat, WrongStat"
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,_get_expected_stat,35,15,2,"int, str"
C:/Users/DELL/robotframework\atest\robot\output\LogDataFinder.py,get_expand_keywords,35,15,1,_get_output_line
C:/Users/DELL/robotframework\atest\robot\standard_libraries\builtin\listener_printing_start_end_kw.py,start_keyword,8,2,0,
C:/Users/DELL/robotframework\atest\robot\standard_libraries\builtin\listener_printing_start_end_kw.py,end_keyword,8,2,0,
C:/Users/DELL/robotframework\atest\robot\standard_libraries\builtin\listener_using_builtin.py,start_keyword,6,2,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\EmbeddedArgs.py,log,5,2,4,"keyword, range, int, print"
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,normal_args,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,normal_and_varargs,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,normal_and_varargs_and_kwargs,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,normal_and_kwargs,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,varargs_and_kwargs,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\dryrun\Library.py,kwargs,12,6,0,
C:/Users/DELL/robotframework\atest\testdata\cli\runner\failtests.py,end_test,3,1,0,
C:/Users/DELL/robotframework\atest\testdata\core\resources_and_variables\dynamicVariables.py,getVariables,6,2,1,str
C:/Users/DELL/robotframework\atest\testdata\core\resources_and_variables\dynamic_variables.py,get_variables,18,4,2,"Exception, len"
C:/Users/DELL/robotframework\atest\testdata\core\resources_and_variables\vars_from_cli2.py,get_variables,8,1,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\Annotations.py,annotations,4,2,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\Annotations.py,annotations_with_defaults,4,2,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\AsyncLib.py,__init__,34,16,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\AsyncLib.py,async_with_run_inside,34,16,1,inner
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeDynamicKeywords.py,get_keyword_names,8,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeDynamicKeywords.py,run_keyword,8,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeHybridKeywords.py,get_keyword_names,10,6,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeHybridKeywords.py,__getattr__,10,6,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,defined_twice,18,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,this_time_using_custom_name,18,7,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,defined_thrice,18,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,definedThrice,18,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,Defined_Thrice,18,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,embedded1,18,7,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\DupeKeywords.py,embedded2,18,7,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\DynamicPositionalOnly.py,get_keyword_names,22,8,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DynamicPositionalOnly.py,run_keyword,22,8,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\DynamicPositionalOnly.py,get_keyword_arguments,22,8,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\library_with_keywords_with_dots_in_name.py,get_keyword_names,7,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\library_with_keywords_with_dots_in_name.py,run_keyword,7,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,one_argument,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,three_arguments,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,with_normal,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,defaults,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,types,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\PositionalOnly.py,kwargs,12,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,only_mandatory,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,mandatory_and_default,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,multiple_default_values,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,mandatory_and_varargs,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,kwargs,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,all_args,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,return_object_with_non_ascii_repr,26,12,1,NonAsciiRepr
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,return_object_with_invalid_repr,26,12,1,InvalidRepr
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,embedded_arguments,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,__repr__,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\TraceLogArgsLibrary.py,__repr__,26,12,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedFunctions.py,decorator,12,3,2,"wraps, f"
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedFunctions.py,wrapped_function,12,3,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedFunctions.py,wrapped_function_with_arguments,12,3,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedFunctions.py,wrapper,12,3,2,"wraps, f"
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedMethods.py,decorator,13,5,2,"wraps, f"
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedMethods.py,wrapper,13,5,2,"wraps, f"
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedMethods.py,wrapped_method,13,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\WrappedMethods.py,wrapped_method_with_arguments,13,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,x_in_library,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,x_and_y_in_library,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,y_in_library,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,match_in_both_libraries,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,best_match_in_one_of_libraries,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,follow_search_order_in_libraries,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library.py,unresolvable_conflict_in_library,24,16,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library2.py,match_in_both_libraries,17,11,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library2.py,follow_search_order_in_libraries,17,11,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library2.py,match_libraries,17,11,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library2.py,unresolvable_conflict_in_library,17,11,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\embedded_arguments_conflicts\library2.py,possible_conflict_in_library,17,11,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\DynamicLibraryWithKeywordTags.py,get_keyword_names,7,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\DynamicLibraryWithKeywordTags.py,run_keyword,7,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\DynamicLibraryWithKeywordTags.py,get_keyword_documentation,7,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\LibraryWithKeywordTags.py,library_keyword_tags_with_attribute,19,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\LibraryWithKeywordTags.py,library_keyword_tags_with_decorator,19,5,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\LibraryWithKeywordTags.py,library_keyword_tags_with_documentation,19,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\LibraryWithKeywordTags.py,library_keyword_tags_with_documentation_and_attribute,19,5,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\keyword_tags\LibraryWithKeywordTags.py,invalid_library_keyword_tags,19,5,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\library\with\dots\__init__.py,keyword,5,3,2,"keyword, print"
C:/Users/DELL/robotframework\atest\testdata\keywords\library\with\dots\in\name\__init__.py,get_keyword_names,10,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\library\with\dots\in\name\__init__.py,run_keyword,10,4,1,print
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithKwargs.py,__init__,11,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithKwargs.py,run_keyword,11,4,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithoutKwargs.py,__init__,20,7,1,dict
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithoutKwargs.py,get_keyword_names,20,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithoutKwargs.py,run_keyword,20,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithoutKwargs.py,_pretty,20,7,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\DynamicWithoutKwargs.py,get_keyword_arguments,20,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\helper.py,get_result_or_error,15,7,1,BuiltIn
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\helper.py,pretty,15,7,2,"to_str, sorted"
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\helper.py,to_str,15,7,2,"is_string, type"
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\KwargsLibrary.py,one_named,11,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\KwargsLibrary.py,two_named,11,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\KwargsLibrary.py,four_named,11,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\KwargsLibrary.py,mandatory_and_named,11,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\KwargsLibrary.py,mandatory_named_and_varargs,11,7,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_mandatory_named_varargs_and_kwargs,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_kwargs,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_mandatory_named_and_kwargs,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_mandatory_named_and_varargs,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_mandatory_and_named,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_args\python_library.py,lib_mandatory_and_named_2,13,6,1,pretty
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgs.py,__init__,27,10,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgs.py,get_keyword_names,27,10,1,list
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgs.py,get_keyword_arguments,27,10,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgs.py,run_keyword,27,10,1,AssertionError
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgsWithoutKwargs.py,get_keyword_names,7,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgsWithoutKwargs.py,get_keyword_arguments,7,5,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\DynamicKwOnlyArgsWithoutKwargs.py,run_keyword,7,5,1,RuntimeError
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,kw_only_arg,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,many_kw_only_args,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,kw_only_arg_with_default,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,mandatory_after_defaults,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,kw_only_arg_with_annotation,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,kw_only_arg_with_annotation_and_default,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,kw_only_arg_with_varargs,19,9,0,
C:/Users/DELL/robotframework\atest\testdata\keywords\named_only_args\KwOnlyArgs.py,all_arg_types,19,9,2,"list, sorted"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,user_selects_from_webshop,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,this,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,my_embedded,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,gets_from_the,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,mult_match1,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,mult_match2,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,mult_match3,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,i_execute,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,i_execute_with,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,result_of_is,99,29,4,"keyword, should_be_equal, eval, float"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,i_want_as_variables,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,today_is,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,today_is_and_tomorrow_is,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,literal_opening_curly_brace,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,literal_closing_curly_brace,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,literal_curly_braces,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,custom_regexp_with_escape_chars,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,custom_regexp_with_escapes_1,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,custom_regexp_with_escapes_2,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,custom_regexp_with_escapes_3,99,29,2,"keyword, should_be_equal"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,grouping,99,29,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,too_few_args_here,99,29,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,optional_args_are_okay,99,29,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,varargs_are_okay,99,29,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,same_name_1,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,same_name_2,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,same_name_3,99,29,2,"keyword, log"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,totally_same_1,99,29,2,"keyword, Exception"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_1.py,totally_same_2,99,29,2,"keyword, Exception"
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\embedded_args_in_lk_2.py,mult_match3,5,1,1,keyword
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\MyLibrary1.py,keyword_only_in_library_1,53,22,1,print
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\MyLibrary1.py,keyword_in_both_libraries,53,22,1,print
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\MyLibrary1.py,keyword_in_all_resources_and_libraries,53,22,1,print
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\MyLibrary1.py,keyword_everywhere,53,22,1,print
C:/Users/DELL/robotframework\atest\testdata\keywords\resources\MyLibrary1.py,keyword_in_tc_file_overrides_others,53,22,1,Exception
